Country,Capital,Currency,Language
Abkhazia,Sukhumi,Russian ruble(RUB),"Georgian, Abkhaz, Russian"
Afghanistan,Kabul,Afghani(AFN),"Pashto, Dari (Persian)"
Akrotiri and Dhekelia,Episkopi Cantonment,Euro (EUR),"English, Greek"
Armenia,Yerevan,Dram (AMD),Armenian
Azerbaijan,Baku,Manat (AZN),Azerbaijani
Bahrain,Manama,Bahraini dinar (BHD),Arabic
Bangladesh,Dhaka,Taka(BDT),Bengali
Bhutan,Thimphu,Bhutanese ngultrumb(BTN),Dzongkha
British Indian Ocean Territory,Diego Garcia,UK pound,English
Brunei,Bandar Seri Begawan,Brunei dollar (BND),Bahasa Melayu
Cambodia,Phnom Penh,Riela (KHR),Khmer
China,Beijing,Renminbi (yuan)(CNY),Standard Chinese
Christmas Island,Flying Fish Cove,Australian dollar (AUD),English
Cocos (Keeling) Islands,West Island,Australian dollar (AUD),English
Cyprus,Nicosia,Euro (EUR),"Greek, Turkish"
East Timor,Dili,United States dollarc(USD),"Portuguese, Tetum"
Georgia,Tbilisi,Lari (GEL),Georgian
Hong Kong,Special administrative region of China,Hong Kong dollar(HKD),"English, Cantonese"
India,New Delhi,Indian rupee (INR),"Hindi, English"
Indonesia,Jakarta,Indonesian rupiah (IDR),Indonesian
Iran,Tehran,Rial (IRR),Persian
Iraq,Baghdad,Iraqi dinar (IQD),"Kurdish, Arabic"
Israel,Jerusalem,Israeli new shekel (ILS),"Hebrew, English, Arabic"
Japan,Tokyo,Yen (JPY),Japanese
Jordan,Amman,Jordanian dinar (JOD),Arabic
Kazakhstan,Astana,Tenge (KZT),"Kazakh, Russian"
Kurdistan,Erbil,Dinar,Kurdish
Kuwait,Kuwait City,Kuwaiti dinar (KWD),Arabic
Kyrgyzstan,Bishkek,Som (KGS),"Kyrgyz, Russian"
Laos,Vientiane,Kip (LAK),Lao
Lebanon,Beirut,Lebanese pound (LBP),Arabic
Macau,Special administrative region of China,Macanese pataca(MOP),"Portuguese, Cantonese"
Malaysia,Kuala Lumpur,Ringgit (MYR),Malaysian
Maldives,Malé,Maldivian rufiyaa(MVR),Maldivian
Mongolia,Ulaanbaatar,Tögrög (MNT),Mongolian
Myanmar (Burma),Naypyidaw,Kyat (MMK),Burmese
Nagorno-Karabakh,Stepanakert,Armenian dram (AMD),Armenian
Nepal,Kathmandu,Nepalese rupee (NPR),Nepali
Northern Cyprus,Nicosia,Turkish lira (TRY),Turkish
North Korea,Pyongyang,North Korean won (KPW),Korean
Oman,Muscat,Rial (OMR),Arabic
Pakistan,Islamabad,Pakistani rupee (PKR),"English, Urdu"
Palestine,East Jerusalem,"Egyptian pound (EGP), Israeli new sheqel (ILS), Jordanian dinar(JOD)",Arabic
Philippines,Manila,Philippine Peso (PHP),"Filipino, English"
Qatar,Doha,Riyal (QAR),Arabic
Saudi Arabia,Riyadh,Saudi riyal (SAR),Arabic
Singapore,Singapore,Singapore dollar (SGD),"English, Chinese, Malay, Tamil"
South Korea,Seoul,"South Korean won, (KRW)",Korean
South Ossetia,Tskhinvali,Russian ruble (RUB),"Ossetic, Georgian, Russian"
Sri Lanka,,Sri Lankan rupee (LKR),"Sinhala, Tamil"
Syria,Damascus,Syrian pound (SYP),Arabic
Taiwan,Taipei,New Taiwan dollar(TWD),Standard Chinese
Tajikistan,Dushanbe,Somoni (TJS),Tajik
Thailand,Bangkok,Baht (THB),Thai
Turkey,Ankara,Turkish lira(TRY),Turkish
Turkmenistan,Ashgabat,Turkmen new manat(TMT),Turkmen
United Arab Emirates,Abu Dhabi,UAE dirham (AED),Arabic
Uzbekistan,Tashkent,Uzbekistan som(UZS),Uzbek
Vietnam,Hanoi,đồng (VND),Vietnamese
Yemen,Sana’a,Yemeni rial (YER),Arabic
