Country,Capital,Currency,Official language
American Samoa,Pago Pago,United States dollar(USD),"English, Samoan"
Ashmore and Cartier Islands,External territory of Australia,—,
Australia,Canberra,Australian dollar(AUD),"None,, National language- English"
Baker Island,—,Insular area of the United States of America,
Cook Islands,Avarua,"New Zealand dollar (NZD), Cook Islands dollar","English, Cook Islands Māori"
Coral Sea Islands,—,External territory of Australia,
Fiji,Suva,Fijian dollar (FJD),"English, Fijian, Fiji Hindi"
French Polynesia,Papeete,CFP Franc(XPF),French
Guam,Hagatna,United States Dollar,
Howland Island,—,Insular area of the United States of America,
Jarvis Island,—,Insular area of the United States of America,
Johnston Atoll,—,Insular area of the United States of America,
Kingman Reef,—,Insular area of the United States of America,
Kiribati,South Tarawa,"Australian dollar, Kiribati dollar",
Marshall Islands,Majuro,United States Dollar,
Micronesia,Palikir,United States Dollar,
Midway Atoll,—,Insular area of the United States of America,
Nauru,Yaren (seat of government),Australian dollar,
New Caledonia,Nouméa,CFP Franc (XPF),French
New Zealand,Wellington,New Zealand dollar (NZD),"Maori, New Zealand Sign, English"
Niue,Alofi,New Zealand dollar,
Norfolk Island,Kingston,Australian dollar,
Northern Mariana Islands,Saipan,United States Dollar,
Palau,Ngerulmud,United States Dollar,
Palmyra Atoll,—,United States Dollar,
Papua New Guinea,Port Moresby,Papua New Guinean kina,
Pitcairn Islands,Adamstown,New Zealand Dollar,
Samoa,Apia,New Zealand Dollar,
Solomon Islands,Honiara,Solomon Islands dollar,
Tokelau,"Nukunonu (main settlement, although each atoll has its own administrative centre)",New Zealand dollar,
Tonga,Nukuʻalofa,Tongan paʻanga,
Tuvalu,Funafuti,"Australian dollar, Tuvaluan dollar",
Vanuatu,Port Vila,Vanuatu vatu(VUV),"Bislama, French, English"
Wake Island,Insular area of the United States of America,United States dollar,
Wallis and Futuna,Mata-Utu,CFP Franc(XPF),French
