Country,Capital,Currency,Official language
Anguilla,The Valley,East Caribbean dollar(XCD),English
Antigua and Barbuda,St. John’s,East Caribbean dollar (XCD),English
Aruba,Oranjestad,Aruban florin(AWG),"Papiamento, Dutch"
Bahamas,Nassau,Bahamian dollar (BSD),English
Barbados,Bridgetown,Barbadian dollar (BBD),English
Belize,Belmopan,Belize dollar (BZD),English
Bermuda,Hamilton,Bermudian dollarc (BMD),English
Bonaire,Kralendijk,United States dollar(USD),Dutch
British Virgin Islands,Road Town,United States dollar(USD),English
Canada,Ottawa,Canadian dollar (CAD),"French, English"
Cayman Islands,George Town,Cayman Islands dollar(KYD),English
Clipperton Island,uninhabited,Euro(EUR),French
Costa Rica,San José,Costa Rican colón(CRC),Spanish
Cuba,Havana,"Peso (CUP), Convertible peso(CUC)",Spanish
Curaçao,Willemstad,Netherlands Antillean guilder(ANG),"Papiamento, Dutch"
Dominica,Roseau,East Caribbean dollar (XCD),English
Dominican Republic,Santo Domingo,Dominican peso (DOP),Spanish
El Salvador,San Salvador,United States dollara (USD),Spanish
Greenland,Nuuk,Danish krone (DKK),Greenlandic
Grenada,St. George’s,East Caribbean dollar (XCD),English
Guadeloupe,Basse-Terre,Euro(EUR),French
Guatemala,Guatemala City,Guatemalan quetzal(GTQ),Spanish
Haiti,Port-au-Prince,Haitian gourde(HTG),French
Honduras,Tegucigalpa,Honduran lempira(HNL),Spanish
Jamaica,Kingston,Jamaican Dollar(JMD),English
Martinique,Fort-de-France,Euro(EUR),French
Mexico,Mexico City,Mexican peso(MXN),Spanish
Montserrat,Plymouth (official),East Caribbean dollar(XCD),English
Navassa Island,Insular area of the United States of America,United States Dollar(USD),English
Nicaragua,Managua,Nicaraguan cordoba(NIO),Spanish
Panama,Panama City,"Balboa(PAB),, United States dollar (USD)",Spanish
Puerto Rico,San Juan,United States Dollar(USD),English
Saba,The Bottom,United States Dollar(USD),Dutch
Saint Barthélemy,Gustavia,Euro (EUR),French
Saint Kitts and Nevis,Basseterre,East Caribbean dollar(XCD),English
Saint Lucia,Castries,East Caribbean dollar(XCD),English
Saint Martin,Marigot,Euro(EUR),French
Saint Pierre and Miquelon,Saint-Pierre,Euro(EUR),French
Saint Vincent and the Grenadines,Kingstown,East Caribbean dollar(XCD),English
Sint Eustatius,Oranjestad,United States Dollar(USD),Dutch
Sint Maarten,Philipsburg,Netherlands Antillean guilder(ANG),"Dutch, English"
Trinidad and Tobago,Port of Spain,Trinidad and Tobago dollar (TTD),English
Turks and Caicos Islands,Cockburn Town,United States Dollar(USD),English
United States,"Washington, D.C.",United States Dollar(USD),"Many,, National language – English"
United States Virgin Islands,Charlotte Amalie,United States Dollar(USD),English
