Country,Capital,Currency,Official language
Argentina,Buenos Aires,Peso(ARS),Spanish
Bolivia,Sucre (official),Boliviano (BOB),"Spanish, Quechua, Aymara"
Brazil,Brasília,Real(BRL),Portuguese
Chile,Santiago,Peso(CLP),Spanish
Colombia,Bogotá,Peso(COP),Spanish
Ecuador,Quito,United States dollar(USD),Spanish
Falkland Islands,Stanley,Falklands pound(FKP),English
French Guiana,Cayenne,Euro(Eur),French
Guyana,Georgetown,Guyanese dollar(GYD),English
Paraguay,Asunción,Guaraní(PYG),"Spanish, Guaraní"
Peru,Lima,Nuevo sol(PEN),Spanish
Suriname,Paramaribo,Surinamese dollar(SRD),Dutch
Uruguay,Montevideo,Uruguayan peso(UYU),Spanish
Venezuela,Caracas,Bolívar fuerte (VEF),Spanish
